ref,career_matches,career_pens,career_pen_rate,intl_matches,intl_pens,intl_pen_rate
Omar Al Ali,2,0,0.0,0,0,
Khalid Al-Turais,226,93,0.4115,25,16,0.64
Alireza Faghani,555,146,0.2631,65,18,0.2769
Adham Makhadmeh,168,42,0.25,44,16,0.3636
Ilgiz Tantashev,307,104,0.3388,43,13,0.3023
Yusuke Araki,381,86,0.2257,33,12,0.3636
Pierre Atcho,62,10,0.1613,22,5,0.2273
Dahane Beida,68,24,0.3529,34,16,0.4706
Mustapha Ghorbal,285,109,0.3825,42,19,0.4524
Jalal Jayed,121,60,0.4959,23,8,0.3478
Amin Omar,271,96,0.3542,28,9,0.3214
Abongile Tom,189,62,0.328,20,15,0.75
Iván Barton,278,133,0.4784,37,18,0.4865
Juan Gabriel Calderón,340,114,0.3353,33,12,0.3636
Ismail Elfath,332,109,0.3283,37,12,0.3243
Oshane Nation,294,66,0.2245,37,11,0.2973
Drew Fischer,324,96,0.2963,28,5,0.1786
Katia Itzel García,71,15,0.2113,14,3,0.2143
Saíd Martínez,312,113,0.3622,32,15,0.4688
Tori Penso,110,31,0.2818,17,7,0.4118
César Arturo Ramos,545,158,0.2899,58,14,0.2414
Ramon Abatti,315,79,0.2508,12,5,0.4167
Juan Gabriel Benítez,259,83,0.3205,10,1,0.1
Raphael Claus,617,167,0.2707,25,8,0.32
Yael Falcón,282,74,0.2624,13,5,0.3846
Cristián Garay,249,67,0.2691,13,6,0.4615
Darío Herrera,550,153,0.2782,20,9,0.45
Kevin Ortega,323,151,0.4675,20,7,0.35
Andrés Rojas,359,111,0.3092,11,7,0.6364
Wilton Sampaio,698,192,0.2751,36,14,0.3889
Gustavo Tejera,345,114,0.3304,20,8,0.4
Facundo Tello,433,113,0.261,20,4,0.2
Jesús Valenzuela,387,107,0.2765,31,11,0.3548
Campbell-Kirk Kawana-Waugh,192,84,0.4375,16,6,0.375
Espen Eskås,417,124,0.2974,25,5,0.2
Alejandro Hernández Hernández,482,146,0.3029,16,2,0.125
István Kovács,604,199,0.3295,35,14,0.4
François Letexier,401,135,0.3367,25,2,0.08
Danny Makkelie,780,235,0.3013,39,9,0.2308
Szymon Marciniak,713,296,0.4151,44,22,0.5
Maurizio Mariani,432,145,0.3356,24,7,0.2917
Glenn Nyberg,478,88,0.1841,26,8,0.3077
Michael Oliver,811,249,0.307,48,18,0.375
João Pinheiro,441,149,0.3379,25,12,0.48
Sandro Schärer,510,172,0.3373,23,6,0.2609
Anthony Taylor,837,260,0.3106,39,11,0.2821
Clément Turpin,673,235,0.3492,48,21,0.4375
Slavko Vinčić,511,120,0.2348,45,13,0.2889
Felix Zwayer,730,212,0.2904,36,13,0.3611
