row_id,source_batch,status,game_date,match_raw,match_norm,question_number,question,question_type,field_prob,result,outcome_pct,submitted,submitted_percent,actual_rbp,if_yes_rbp,if_no_rbp,swing_display,notes,target_team,target_player,line
1,raw_paste_collected_in_chat,resolved,2026-06-11,Mexico vs South Africa,Mexico vs South Africa,Q1,Will South Africa commit more fouls than Mexico?,team_more_fouls,57,No,0.0,0,,,,,,The Crowd played it safe.,,,
2,raw_paste_collected_in_chat,resolved,2026-06-11,Mexico vs South Africa,Mexico vs South Africa,Q2,"In the second half, will Mexico have more corner kicks than South Africa?",team_more_corners_2h,65,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
3,raw_paste_collected_in_chat,resolved,2026-06-11,Mexico vs South Africa,Mexico vs South Africa,Q3,Will Mexico have more shots on target than South Africa in the second half?,team_more_sot_2h,69,Yes,100.0,0,,,,,,The Crowd called it perfectly!,,,
4,raw_paste_collected_in_chat,resolved,2026-06-11,Mexico vs South Africa,Mexico vs South Africa,Q4,Will a penalty kick be awarded OR a red card be shown in the match?,penalty_or_red_card,42,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
5,raw_paste_collected_in_chat,resolved,2026-06-11,Mexico vs South Africa,Mexico vs South Africa,Q5,Will South Africa be caught offside 2 or more times?,team_offsides_over,51,No,0.0,0,,,,,,The Crowd played it safe.,,,
6,raw_paste_collected_in_chat,resolved,2026-06-11,Mexico vs South Africa,Mexico vs South Africa,Q6,Will South Africa receive more cards than Mexico?,team_more_cards,54,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
7,raw_paste_collected_in_chat,resolved,2026-06-11,Mexico vs South Africa,Mexico vs South Africa,Q7,Will Mexico win the match?,team_win,73,Yes,100.0,0,,,,,,The Crowd called it perfectly!,,,
8,raw_paste_collected_in_chat,resolved,2026-06-11,Mexico vs South Africa,Mexico vs South Africa,Q8,Will the match have 2 or fewer total goals?,match_total_under,52,Yes,100.0,0,,,,,,The Crowd played it safe.,,,
9,raw_paste_collected_in_chat,resolved,2026-06-11,Mexico vs South Africa,Mexico vs South Africa,Q9,Will South Africa score in the second half?,team_score_2h,38,No,0.0,0,,,,,,The Crowd played it safe.,,,
10,raw_paste_collected_in_chat,resolved,2026-06-11,Mexico vs South Africa,Mexico vs South Africa,Q10,Will Oswin Appollis score or assist a goal (excluding own goals)?,player_goal_or_assist,30,No,0.0,0,,,,,,The Crowd called it perfectly!,,,
11,raw_paste_collected_in_chat,resolved,2026-06-11,Korea Republic vs Czechia,South Korea vs Czechia,Q1,"At halftime, will Czechia have more corner kicks than South Korea?",team_more_corners_h1,45,No,0.0,0,,,,,,The Crowd played it safe.,,,
