question_type,n,mae_model,mae_v2,mae_qt_mean,mae_role_qt_mean
team_win,34,0.13599251872931156,0.13147058823529414,0.14239165409753646,0.14484701574412157
team_offsides_over,33,0.041039291825572574,0.04133897110641297,0.041692474192474197,0.04167408464106254
player_sot_over,31,0.09743431124058778,0.09330011364629774,0.09661508897834287,0.0985479290358198
team_more_fouls,30,0.08156386964115543,0.06954166666666665,0.0757265217391304,0.07545178526598863
team_more_sot_2h,26,0.16227876620787296,0.15969860548807918,0.16082717282717282,0.16288229580463845
team_score_2h,18,0.12005891785950691,0.10603174603174602,0.1182983312983313,0.11707095568546598
compound_btts_over_2_5,16,0.06289472881224195,0.04210937499999999,0.04416185897435897,0.04747471277337957
penalty_or_red_card,14,0.017901435932461567,0.01750000000000001,0.01755844155844156,0.024549606199514205
player_goal_or_assist,13,0.07582937927457811,0.073246270637575,0.07646153846153844,0.08719171361590423
team_more_cards,11,0.055918979316092375,0.05189269746646797,0.05331313131313133,0.05139761487669634
total_cards_over,11,0.034081291636452175,0.042148760330578516,0.04566883116883118,0.044839376701335386
team_sot_over,10,0.11483290675630198,0.08479999999999999,0.09735317460317461,0.09705665790293666
player_sot_2h_over,9,0.0746379801960423,0.07801169590643275,0.07583333333333335,0.07258775103920137
match_total_under,8,0.07499849329375176,0.05625,0.0783214285714286,0.07240205116699458
halftime_draw,7,0.021116399875047296,0.06302521008403364,0.019523809523809516,0.029550412347057735
match_total_over,6,0.0512501134598797,0.05000000000000001,0.05133333333333334,0.05156193661490771
team_more_corners_full,6,0.1158925752046706,0.1326923076923077,0.11933333333333333,0.11616027561087154
team_corners_over,6,0.11644262399517206,0.10375,0.12216666666666665,0.09591607257734602
both_teams_sot_h1_1plus,5,0.0502317121822299,0.029333333333333343,0.040833333333333346,0.06238333618869949
team_more_corners_2h,5,0.15662445106616235,0.14400000000000004,0.14400000000000004,0.15281505576007692
both_teams_sot_2h_1plus,5,0.06479114845841094,0.05093333333333332,0.0658333333333333,0.10475924041970756
second_half_more_goals,5,0.016641563822772865,0.02266666666666667,0.01050000000000002,0.010507181201817905
compound_first_goal_score_2h,5,0.041312815950153535,0.15680000000000005,0.018333333333333323,0.10085570152006133
player_goal,5,0.05805231120214068,0.06666666666666667,0.06416666666666668,0.06290392676205822
second_half_total_sot_over,5,0.029097926044739063,0.10239999999999994,0.027500000000000014,0.06160547871658979
team_sot_2h_over,4,0.08895991019695365,0.04055555555555555,0.04833333333333334,0.0806109244358956
second_half_goals_over,4,0.09205767218178858,0.09285714285714285,0.08166666666666664,0.08889206813947297
team_more_corners_h1,4,0.07146971725603475,0.07916666666666669,0.07166666666666666,0.0713045695225626
team_more_goals_2h,4,0.034482822997228185,0.03250000000000003,0.04166666666666671,0.03172131484631485
penalty_awarded,4,0.03544030832190878,0.012500000000000011,0.015000000000000013,0.12244231522561973
team_score_any,4,0.01745955262092798,0.19464285714285712,0.030000000000000013,0.05029043764770408
team_card_2h,3,0.04078500318167485,0.08695652173913049,0.050000000000000044,0.0637391287141383
halftime_team_winning,3,0.09040294140668276,0.11794871794871793,0.09333333333333334,0.07612955671010269
match_total_sot_over,3,0.06791396837520658,0.09855072463768115,0.0866666666666666,0.07240109023077117
team_score_first_2h,2,0.1109046221095552,0.15454545454545454,0.020000000000000018,0.12200307750533179
team_score_1h,2,0.1950461130172471,0.1227272727272728,0.1466835016835017,0.1466835016835017
team_total_goals_over,1,0.140525415786596,0.08571428571428574,0.09698961937716255,0.09698961937716255
halftime_team_lead,1,0.16468947974096537,0.0784313725490196,0.006228373702422185,0.006228373702422185
total_cards_2h_over,1,0.0009449151268715594,0.05714285714285727,0.06622837370242224,0.06622837370242224
second_half_corners_over,1,0.06286172029679937,0.03809523809523818,0.05168350168350172,0.05168350168350172
total_corners_over,1,0.0048453511029816765,0.0,0.026228373702422203,0.026228373702422203
total_sot_2h_over,1,0.003514199155168818,0.00909090909090915,0.1362283737024222,0.1362283737024222
