match,game_date,question,question_type,target_player,target_team,line,lineup_status,lineup_role,has_lineup_context,is_starter,is_not_starting,is_out_of_squad,expected_minutes_if_known,favorite_team,underdog_team,target_team_win_prob,target_team_is_favorite,target_team_is_underdog,team_implied_goals_if_available,match_total_over_2_5_prob,btts_prob,has_direct_market,direct_market_prob_if_available,p_field_est,p_field_source,risk_tags,submitted_percent,crowd_percent,result,actual_rbp
Mexico vs South Africa,2026-06-11,Will Oswin Appollis score or assist a goal (excluding own goals)?,player_goal_or_assist,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.33173913043478265,blend_anchor_generic+historical_n13,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,30,No,
South Korea vs Czechia,2026-06-11,Will Son Heung-min score a goal (excluding own goals)?,player_goal,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.29333333333333333,blend_anchor_generic+historical_n5,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,40,No,
South Korea vs Czechia,2026-06-11,Will Patrik Schick have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,67,No,
Canada vs Bosnia and Herzegovina,2026-06-12,Will Jonathan David score a goal (excluding own goals)?,player_goal,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.29333333333333333,blend_anchor_generic+historical_n5,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,38,No,
Canada vs Bosnia and Herzegovina,2026-06-12,Will Edin Džeko have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,58,No,
United States vs Paraguay,2026-06-12,Will Folarin Balogun have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,63,Yes,
United States vs Paraguay,2026-06-12,Will Julio Enciso have at least 1 shot on target in the second half?,player_sot_2h_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.45263157894736844,blend_anchor_generic+historical_n9,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,37,No,
Qatar vs Switzerland,2026-06-13,Will Akram Afif have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,46,No,
Qatar vs Switzerland,2026-06-13,Will Granit Xhaka have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,48,No,
Haiti vs Scotland,2026-06-13,Will Duckens Nazon have at least 1 shot on target?,player_sot_over,,,,unknown,unknown,False,False,False,False,,,,,,,,,,False,,0.46585365853658534,blend_anchor_generic+historical_n31,player_prop;missing_lineup_context;no_direct_market;no_trained_player_prop_model,,45,No,
