forecast_run_id,match_date,match,question,outcome,book,american_odds,notes,entered_at
2026-06-20_morning,2026-06-20,Netherlands vs Sweden,Match result,Netherlands,Pinnacle,-138,,2026-06-20 17:10:04.542883+00:00
2026-06-20_morning,2026-06-20,Netherlands vs Sweden,Match result,Draw,Pinnacle,315,,2026-06-20 17:10:04.542883+00:00
2026-06-20_morning,2026-06-20,Netherlands vs Sweden,Match result,Sweden,Pinnacle,390,,2026-06-20 17:10:04.542883+00:00
2026-06-20_morning,2026-06-20,Netherlands vs Sweden,Match result,Netherlands,Circa,-140,,2026-06-20 17:10:04.542883+00:00
2026-06-20_morning,2026-06-20,Netherlands vs Sweden,Match result,Draw,Circa,295,,2026-06-20 17:10:04.542883+00:00
2026-06-20_morning,2026-06-20,Netherlands vs Sweden,Match result,Sweden,Circa,388,,2026-06-20 17:10:04.542883+00:00
2026-06-20_morning,2026-06-20,Netherlands vs Sweden,Match result,Netherlands,bet365,-143,,2026-06-20 17:10:04.542883+00:00
2026-06-20_morning,2026-06-20,Netherlands vs Sweden,Match result,Draw,bet365,310,,2026-06-20 17:10:04.542883+00:00
2026-06-20_morning,2026-06-20,Netherlands vs Sweden,Match result,Sweden,bet365,350,,2026-06-20 17:10:04.542883+00:00
2026-06-20_morning,2026-06-20,Netherlands vs Sweden,Match result,Netherlands,DraftKings,-138,,2026-06-20 17:10:04.542883+00:00
2026-06-20_morning,2026-06-20,Netherlands vs Sweden,Match result,Draw,DraftKings,317,,2026-06-20 17:10:04.542883+00:00
2026-06-20_morning,2026-06-20,Netherlands vs Sweden,Match result,Sweden,DraftKings,376,,2026-06-20 17:10:04.542883+00:00
2026-06-20_morning,2026-06-20,Netherlands vs Sweden,Match result,Netherlands,Caesars,-150,,2026-06-20 17:10:04.542883+00:00
2026-06-20_morning,2026-06-20,Netherlands vs Sweden,Match result,Draw,Caesars,290,,2026-06-20 17:10:04.542883+00:00
2026-06-20_morning,2026-06-20,Netherlands vs Sweden,Match result,Sweden,Caesars,350,,2026-06-20 17:10:04.542883+00:00
2026-06-20_morning,2026-06-20,Germany vs Ivory Coast,Match result,Germany,Pinnacle,-195,,2026-06-20 17:10:04.542883+00:00
